q(t),H_ratio,S(t),MSE(model0_vs_ref),KL(f0||D),"JS(f0,D)",q_stagnation,q_tail_ratio,q_entropy_ratio
0.0001248366175516935,1.0000043495801696,0.0,9.263756501010414e-06,0.0153037209245774,0.00369444154539539,0.7284572329700307,7.217205557198494,1.1570234430461115
0.0001168424800025436,1.000004073061276,0.0,9.29298200912911e-06,0.014720543188092496,0.003555615211493052,0.7264284472361554,7.21816006126698,1.1573484611933047
0.00010936024180707715,1.0000038139994047,0.0,9.322346443539992e-06,0.0141591462082713,0.003421878112775053,0.7244163906412473,7.219093724709926,1.1576648407449373
0.00010235712625183968,1.000003571307738,0.0,9.35181819132416e-06,0.013618743968271237,0.0032930509598682756,0.7224214426557932,7.220007033543418,1.1579728323914351
9.580245500329099e-05,1.0000033439652,0.0,9.381367423108715e-06,0.013098577004054826,0.0031689603403533984,0.7204439600668843,7.2209004613786,1.158272679063273
8.966751380479199e-05,1.0000031310127269,0.0,9.410966011392341e-06,0.012597911637408164,0.003049438555271195,0.7184842773484078,7.221774469768983,1.1585646161781302
8.392542676693981e-05,1.0000029315497108,0.0,9.440587452338008e-06,0.01211603922071701,0.0029343234579571,0.7165427070557353,7.222629508547603,1.1588488718803012
7.855103869702784e-05,1.0000027447306263,0.0,9.470206790891106e-06,0.011652275394311101,0.0028234582953819993,0.714619540242525,7.223466016154303,1.1591256672725805
7.352080496081381e-05,1.0000025697618231,0.0,9.499800549086967e-06,0.011205959357074524,0.002716691552147623,0.712715046897376,7.224284419953386,1.1593952166408434
6.881268838676569e-05,1.0000024058984853,0.0,9.529346657417135e-06,0.010776453150900325,0.002613876797263876,0.7108294763981151,7.225085136541904,1.1596577276715285
6.440606276969518e-05,1.0000022524417496,0.0,9.558824389128921e-06,0.010363140959468761,0.002514872533814227,0.7089630579816056,7.225868572048826,1.1599134016622363
6.0281622547897484e-05,1.0000021087359816,0.0,9.588214297337735e-06,0.009965428421731481,0.002419542051595353,0.7071160012270408,7.226635122425356,1.1601624337256427
5.642129826122222e-05,1.0000019741661947,0.0,9.617498154836574e-06,0.00958274196041304,0.0023277532828009,0.7052884965507854,7.2273851737266215,1.1604050129869243
5.28081774170408e-05,1.0000018481556125,0.0,9.646658896491564e-06,0.009214528125750847,0.002239378660802778,0.7034807157109049,7.228119102385007,1.1606413227748982
4.942643042404882e-05,1.0000017301633681,0.0,9.675680564116965e-06,0.008860252954635932,0.0021542949820707643,0.7016928123196317,7.22883727547535,1.1608715408070538
4.6261241262612884e-05,1.0000016196823325,0.0,9.704548253727301e-06,0.008519401345257506,0.0020723832712568656,0.6999249223620896,7.229540050972246,1.1610958393686726
4.329874259578759e-05,1.0000015162370626,0.0,9.733248065068361e-06,0.008191476447295471,0.0019935286494613775,0.6981771647197051,7.230227777999697,1.1613143854862056
4.0525955031456284e-05,1.000001419381874,0.0,9.761767053332769e-06,0.007875999067657066,0.0019176202056855962,0.6964496416968212,7.230900797073315,1.1615273410950937
3.7930730271473756e-05,1.0000013286990173,0.0,9.790093182969676e-06,0.007572507091717955,0.00184455087146975,0.6947424395491093,7.2315594403353245,1.1617348632021929
3.550169790333957e-05,1.0000012437969656,0.0,9.81821528350165e-06,0.007280554919976957,0.0017742172987027854,0.6930556290124824,7.232204031782558,1.1619371040429791
3.322821559326172e-05,1.0000011643088018,0.0,9.846123007265473e-06,0.006999712920015395,0.0017065197405881447,0.6913892658312777,7.232834887487676,1.162134211233686
3.110032247122252e-05,1.000001089890698,0.0,9.873806788996842e-06,0.006729566893606598,0.0016413619357394738,0.6897433912845847,7.2334523158138,1.1623263279185416
2.9108695497659376e-05,1.0000010202204888,0.0,9.90125780718221e-06,0.006469717558808832,0.0015786509953768287,0.6881180327096532,7.234056617622774,1.1625135929122505
2.7244608624577005e-05,1.0000009549963285,0.0,9.928467947104179e-06,0.006219780046841178,0.001518297293588303,0.6865132040214205,7.234648086477241,1.1626961408378729
2.549989457101276e-05,1.000000893935427,0.0,9.955429765509728e-06,0.005979383413532536,0.0014602143606176725,0.6849289062272518,7.235227008836729,1.1628741022602467
2.3866909045322515e-05,1.000000836772865,0.0,9.982136456833553e-06,0.00574817016510621,0.0014043187791357627,0.6833651279360836,7.235793664247927,1.1630476038150912
2.233849725741255e-05,1.0000007832604783,0.0,1.0008581820911448e-05,0.005525795798055195,0.0013505300834488875,0.6818218458612126,7.236348325529342,1.1632167683339287
2.0907962576588446e-05,1.0000007331658114,0.0,1.0034760232121378e-05,0.0053119283528540485,0.001298770661595539,0.6802990253160617,7.236891258950501,1.163381714964957
1.9569037194355765e-05,1.000000686271134,0.0,1.006066660989235e-05,0.005106247981230008,0.0012489656602811799,0.6787966207022976,7.237422724405868,1.1635425592900046
1.8315854666162146e-05,1.000000642372517,0.0,1.0086296390523759e-05,0.004908446526726003,0.0012010428925968526,0.677314575989765,7.237942975583655,1.1636994134376863
1.7142924210844512e-05,1.0000006012789688,0.0,1.011164550026007e-05,0.0047182271182632865,0.0011549327484681078,0.6758528251877357,7.238452260129663,1.1638523861928907
1.6045106656981112e-05,1.0000005628116193,0.0,1.0136710329568085e-05,0.0045353037764220075,0.0011105681077779907,0.6744112928070508,7.238950819806337,1.1640015831027035
1.5017591926458351e-05,1.0000005268029593,0.0,1.0161487708566112e-05,0.004359401032144893,0.001067884256107373,0.6729898943127683,7.239438890647157,1.1641471065788978
1.405587796288188e-05,1.0000004930961224,0.0,1.0185974883556463e-05,0.004190253557566626,0.001026818803035322,0.6715885365670003,7.239916703106539,1.1642890559970842
1.3155751006910243e-05,1.0000004615442157,0.0,1.0210169494614736e-05,0.004027605808679658,0.0009873116029412736,0.6702071182616506,7.24038448220536,1.1644275277926417
1.2313267135910522e-05,1.0000004320096902,0.0,1.0234069554191151e-05,0.0038712116795346155,0.000949304678250832,0.6688455303408266,7.240842447672265,1.1645626155535285
1.152473498389206e-05,1.000000404363748,0.0,1.02576734266811e-05,0.003720834167677274,0.0009127421450668355,0.6675036564127365,7.24129081408088,1.164694410110068
1.0786699570775049e-05,1.0000003784857914,0.0,1.028097980892392e-05,0.003576245050538586,0.0008775701411275301,0.666181373150913,7.241729790983061,1.1648229996218198
1.0095927164166518e-05,1.0000003542629032,0.0,1.0303987711590349e-05,0.0034372245724699872,0.0008437367560331357,0.6648785506846561,7.2421595830383,1.1649484696616177
9.449391111804317e-06,1.0000003315893584,0.0,1.0326696441421049e-05,0.00330356114214745,0.0008111919636840763,0.6635950529786189,7.24258039013942,1.165070903296878
8.84425858105331e-06,1.0000003103661712,0.0,1.0349105584279847e-05,0.003175051040044001,0.0007798875568719339,0.6623307382014801,7.242992407534657,1.1651903811682547
