q(t),H_ratio,S(t),MSE(model_vs_ref),KL(f||D),"JS(f,D)",q_stagnation,q_tail_ratio,q_entropy_ratio
0.013328792034405068,0.9978500826145005,0.02,1.1424263487994943e-05,1.1411965837988014e-08,2.8533471591781047e-09,0.6973627197357677,7.257901993578573,1.1679074219079817
0.013329499521313015,0.9978499450394378,0.02,1.1424216148843513e-05,1.0777973568384095e-08,2.6948199780155188e-09,0.6973707818809426,7.2579014823029215,1.1679068219646571
0.01333018640342798,0.9978498113868705,0.02,1.1424170127777625e-05,1.0179310721430707e-08,2.545127525361053e-09,0.6973786138744626,7.2579009890841,1.1679062396901403
0.013330853288377409,0.9978496815439303,0.02,1.142412538826357e-05,9.614001359439437e-09,2.4037755837890872e-09,0.6973862223180537,7.257900513273322,1.1679056745581236
0.013331500765500548,0.9978495554010488,0.02,1.1424081894774395e-05,9.080180754094947e-09,2.2702979320743125e-09,0.6973936136231133,7.257900054245354,1.1679051260581566
0.013332129406418536,0.9978494328518589,0.02,1.1424039612762331e-05,8.576088911111716e-09,2.1442542971134995e-09,0.6974007940162209,7.257899611397672,1.1679045936951633
0.013332739765587298,0.9978493137930984,0.02,1.1423998508631966e-05,8.10006466555719e-09,2.025229257697575e-09,0.6974077695444904,7.2578991841496245,1.1679040769889755
0.013333332380829677,0.9978491981245166,0.02,1.1423958549714186e-05,7.650539763602097e-09,1.9128306684691813e-09,0.697414546080765,7.257898771941642,1.1679035754738782
0.013333907773853237,0.9978490857487836,0.02,1.1423919704240766e-05,7.226034616115572e-09,1.8066882661710418e-09,0.6974211293286658,7.257898374234468,1.167903088698172
0.013334466450747429,0.9978489765714044,0.02,1.14238819413197e-05,6.825151034923117e-09,1.7064527169968999e-09,0.6974275248274904,7.257897990508418,1.1679026162237462
0.013335008902467249,0.9978488705006318,0.02,1.1423845230911199e-05,6.446570693915443e-09,1.6117941579724076e-09,0.6974337379569686,7.257897620262668,1.167902157625666
0.01333553560529982,0.9978487674473855,0.02,1.1423809543804314e-05,6.089048586529564e-09,1.5224012333880213e-09,0.6974397739418841,7.257897263014566,1.1679017124917723
0.013336047021315411,0.9978486673251734,0.02,1.1423774851594228e-05,5.751410051097833e-09,1.4379801569539574e-09,0.6974456378565583,7.257896918298971,1.1679012804222941
0.01333654359880454,0.9978485700500141,0.02,1.1423741126660154e-05,5.432544760318247e-09,1.3582534073097382e-09,0.6974513346292067,7.25789658566761,1.167900861029471
0.013337025772701017,0.9978484755403614,0.02,1.1423708342143833e-05,5.131405992957727e-09,1.2829591702739603e-09,0.6974568690461646,7.257896264688468,1.167900453937189
0.013337493964990066,0.9978483837170324,0.02,1.1423676471928614e-05,4.847005228763782e-09,1.2118501302402985e-09,0.6974622457559959,7.257895954945194,1.1679000587806283
0.013337948585105175,0.9978482945031396,0.02,1.1423645490619128e-05,4.578408961148985e-09,1.1446930172723776e-09,0.6974674692734798,7.257895656036523,1.1678996752059174
0.013338390030309955,0.9978482078240194,0.02,1.1423615373521488e-05,4.324736256457068e-09,1.0812674480969436e-09,0.6974725439834774,7.2578953675757365,1.1678993028698041
0.013338818686070786,0.9978481236071689,0.02,1.1423586096624037e-05,4.0851555791402816e-09,1.0213654262538395e-09,0.6974774741446962,7.257895089190119,1.1678989414393308
0.01333923492641459,0.9978480417821818,0.02,1.1423557636578637e-05,3.8588812208319715e-09,9.64790651531008e-10,0.6974822638933322,7.257894820520459,1.1678985905915227
0.01333963911427627,0.9978479622806863,0.02,1.142352997068244e-05,3.645172491228518e-09,9.113575991348573e-10,0.6974869172466198,7.257894561220545,1.1678982500130863
0.013340031601835778,0.9978478850362844,0.02,1.142350307686019e-05,3.443328853358045e-09,8.60891476400736e-10,0.6974914381062681,7.257894310956701,1.1678979194001144
0.013340412730844964,0.9978478099844954,0.02,1.1423476933646968e-05,3.2526900775871028e-09,8.132269377662377e-10,0.6974958302618005,7.2578940694073175,1.1678975984578022
0.0133407828329416,0.9978477370626985,0.02,1.1423451520171448e-05,3.0726321401507652e-09,7.682080117235026e-10,0.6975000973938009,7.257893836262424,1.167897286900171
0.013341142229955916,0.9978476662100788,0.02,1.1423426816139578e-05,2.902565883511579e-09,7.256873435469868e-10,0.6975042430770606,7.257893611223252,1.1678969844498013
0.013341491234207026,0.9978475973675732,0.02,1.1423402801818729e-05,2.7419356431353497e-09,6.855260391372216e-10,0.6975082707836366,7.257893394001833,1.1678966908375736
0.013341830148788925,0.9978475304778214,0.02,1.1423379458022254e-05,2.59021583056362e-09,6.475926485118196e-10,0.6975121838858194,7.257893184320603,1.1678964058024162
0.01334215926784943,0.9978474654851127,0.02,1.1423356766094497e-05,2.446911513574489e-09,6.11763386916226e-10,0.6975159856590176,7.25789298191202,1.1678961290910623
0.013342478876858188,0.9978474023353419,0.02,1.1423334707896177e-05,2.3115537127772135e-09,5.77921031054026e-10,0.697519679284554,7.257892786518203,1.167895860457814
0.013342789252869247,0.9978473409759584,0.02,1.1423313265790204e-05,2.183701265117728e-09,5.459552701899371e-10,0.697523267852385,7.257892597890573,1.1678955996643126
0.013343090664771295,0.9978472813559237,0.02,1.1423292422627866e-05,2.062936349887039e-09,5.157616025391463e-10,0.697526754363739,7.257892415789518,1.1678953464793171
0.013343383373534745,0.9978472234256658,0.02,1.1423272161735378e-05,1.948865395602132e-09,4.872416089067042e-10,0.6975301417336761,7.257892239984067,1.167895100678489
0.013343667632448486,0.997847167137037,0.02,1.1423252466900835e-05,1.8411159893267433e-09,4.6030221564466465e-10,0.6975334327935797,7.25789207025157,1.1678948620441838
0.013343943687349036,0.997847112443272,0.02,1.1423233322361495e-05,1.7393373186311281e-09,4.3485562370344003e-10,0.6975366302935679,7.257891906377397,1.1678946303652484
0.01334421177684475,0.9978470592989485,0.02,1.1423214712791406e-05,1.6431974028717497e-09,4.108189004104136e-10,0.6975397369048423,7.257891748154646,1.1678944054368252
0.013344472132530483,0.9978470076599477,0.02,1.1423196623289396e-05,1.5523828067289712e-09,3.881137320553214e-10,0.6975427552219613,7.2578915953838585,1.1678941870601625
0.013344724979198253,0.997846957483416,0.02,1.1423179039367359e-05,1.4665982430625298e-09,3.666660492210038e-10,0.6975456877650559,7.257891447872753,1.1678939750424289
0.013344970535039413,0.997846908727729,0.02,1.1423161946938897e-05,1.3855641829119375e-09,3.46406187038863e-10,0.697548536981972,7.257891305435958,1.1678937691965368
0.013345209011841608,0.9978468613524554,0.02,1.1423145332308237e-05,1.3090166774450734e-09,3.2726811965753166e-10,0.6975513052503578,7.257891167894765,1.1678935693409667
0.013345440615179616,0.9978468153183218,0.02,1.1423129182159472e-05,1.2367070916832125e-09,3.0918954244202066e-10,0.6975539948796877,7.257891035076879,1.167893375299602
0.013345665544600926,0.9978467705871815,0.02,1.14231134835461e-05,1.1684000391797433e-09,2.921117015001858e-10,0.6975566081132271,7.257890906816193,1.1678931869015634
0.01334588399380271,0.9978467271219787,0.02,1.1423098223880825e-05,1.1038732492126014e-09,2.7597912034360744e-10,0.6975591471299416,7.257890782952559,1.1678930039810536
0.013346096150809006,0.9978466848867188,0.02,1.1423083390925672e-05,1.0429173370515702e-09,2.607392263730601e-10,0.6975616140463488,7.257890663331569,1.1678928263772033
0.013346302198136761,0.9978466438464381,0.02,1.1423068972782337e-05,9.853339048955898e-10,2.46342581810928e-10,0.6975640109183199,7.257890547804347,1.1678926539339212
0.013346502312959807,0.9978466039671723,0.02,1.1423054957882826e-05,9.309364771830548e-10,2.3274243419818442e-10,0.6975663397428259,7.257890436227353,1.167892486499754
0.013346696667267954,0.9978465652159288,0.02,1.1423041334980339e-05,8.795477701057225e-10,2.1989461808838277e-10,0.6975686024596324,7.257890328462179,1.1678923239277434
0.01334688542802015,0.9978465275606591,0.02,1.1423028093140407e-05,8.310010020783736e-10,2.0775729952079244e-10,0.69757080095295,7.257890224375372,1.1678921660752923
0.0133470687572938,0.9978464909702297,0.02,1.1423015221732268e-05,7.851390415402342e-10,1.962911967426793e-10,0.697572937053034,7.2578901238382505,1.1678920128040344
0.01334724681242866,0.9978464554143976,0.02,1.1423002710420493e-05,7.418129526548859e-10,1.854591560124529e-10,0.6975750125377341,7.257890026726728,1.1678918639797058
0.013347419746167655,0.9978464208637841,0.02,1.1422990549156808e-05,7.00881939932946e-10,1.7522590328698162e-10,0.6975770291340074,7.25788993292115,1.1678917194720224
0.013347587706792563,0.9978463872898482,0.02,1.1422978728172194e-05,6.622138389550997e-10,1.6555834421112236e-10,0.6975789885193799,7.257889842306131,1.167891579154561
0.013347750838256012,0.9978463546648664,0.02,1.1422967237969147e-05,6.256824928218009e-10,1.5642516034611428e-10,0.697580892323371,7.257889754770402,1.167891442904642
0.013347909280308823,0.9978463229619041,0.02,1.1422956069314185e-05,5.911700040687126e-10,1.4779672431890035e-10,0.6975827421288727,7.2578896702066595,1.1678913106032194
0.01334806316862458,0.997846292154797,0.02,1.142294521323055e-05,5.58564512926815e-10,1.3964505279814036e-10,0.6975845394734926,7.25788958851142,1.1678911821347688
0.013348212634919587,0.9978462622181266,0.02,1.1422934660991114e-05,5.277609554982089e-10,1.3194375493573896e-10,0.6975862858508557,7.257889509584885,1.1678910573871855
0.013348357807070332,0.9978462331272003,0.02,1.142292440411147e-05,4.986588127821511e-10,1.2466799531016006e-10,0.6975879827118675,7.257889433330806,1.1678909362516785
0.01334849880922534,0.9978462048580292,0.02,1.1422914434343229e-05,4.711640015376203e-10,1.177940402891969e-10,0.6975896314659451,7.257889359656356,1.1678908186226733
0.013348635761916028,0.9978461773873086,0.02,1.142290474366748e-05,4.451880974586005e-10,1.1129975587152211e-10,0.6975912334822074,7.257889288472003,1.1678907043977158
0.013348768782162512,0.9978461506923982,0.02,1.1422895324288454e-05,4.2064606119025626e-10,1.0516411210338049e-10,0.697592790090634,7.257889219691398,1.1678905934773773
0.01334889798357769,0.9978461247513024,0.02,1.1422886168627336e-05,3.974600003201003e-10,9.936728953347796e-11,0.6975943025831904,7.25788915323125,1.1678904857651669
0.013349023476467159,0.9978460995426541,0.02,1.142287726931627e-05,3.7555342022233203e-10,9.389047604921752e-11,0.6975957722149195,7.257889089011225,1.1678903811674393
0.013349145367925641,0.9978460750456928,0.02,1.1422868619192512e-05,3.5485642161780887e-10,8.871601703499439e-11,0.6975972002050024,7.257889026953832,1.1678902795933144
0.013349263761933128,0.9978460512402508,0.02,1.1422860211292754e-05,3.353015822763513e-10,8.38272062889951e-11,0.697598587737788,7.257888966984325,1.1678901809545914
0.013349378759444475,0.9978460281067336,0.02,1.1422852038847603e-05,3.168265168123547e-10,7.920823312360765e-11,0.6975999359637932,7.257888909030602,1.167890085165671
0.013349490458479885,0.9978460056261061,0.02,1.1422844095276194e-05,2.993705751472962e-10,7.484416905122827e-11,0.6976012460006762,7.25788885302311,1.167889992143476
0.013349598954209452,0.9978459837798739,0.02,1.1422836374180996e-05,2.828780565529595e-10,7.072089863990313e-11,0.697602518934175,7.2578887988947525,1.1678899018073767
0.013349704339037927,0.9978459625500691,0.02,1.1422828869342696e-05,2.672955024536674e-10,6.68251663357744e-11,0.6976037558190301,7.2578887465808,1.1678898140791187
0.013349806702685818,0.9978459419192357,0.02,1.1422821574715286e-05,2.5257241963063544e-10,6.314431405613785e-11,0.6976049576798673,7.25788869601881,1.1678897288827514
0.01334990613226733,0.997845921870413,0.02,1.1422814484421241e-05,2.386616511139825e-10,5.966654679345813e-11,0.6976061255120667,7.257888647148538,1.167889646144559
