One Model With Late Self Training,Two Models With Late Self Training,Zipf Two Models With Late Self Training,"Zipf Two Models With q(t), S(t), and C(x,f)",Zipf_Two_Models_q_S_C,Zipf_n2_qS_ramp_KLJS,Zipf_n1_qS_ramp_KLJS,Zipf_n10_qS_ramp_KLJS
6.73484437963328e-06,2.733132901132405e-06,1.926701630374891e-07,1.0500254148333708e-05,1.0501422659678408e-05,1.0210169494614736e-05,1.0445282656500223e-05,1.044123142042636e-05
6.792524739653025e-06,2.8321310763798685e-06,1.8587891262334477e-07,1.0521946678298535e-05,1.0523094845827934e-05,1.0234069554191153e-05,1.0467971411880065e-05,1.0463719938558035e-05
6.853292957606536e-06,2.933561513319256e-06,1.7935967945817705e-07,1.054324466619574e-05,1.0544372776984277e-05,1.02576734266811e-05,1.0490249987807405e-05,1.0485813419034075e-05
6.917210243420281e-06,3.037429404646836e-06,1.731021630182945e-07,1.056415442812838e-05,1.0565262768249362e-05,1.028097980892392e-05,1.0512124832536291e-05,1.0507517566316491e-05
6.984338220684915e-06,3.14374039713055e-06,1.6709644834191918e-07,1.058468221741627e-05,1.0585771071774508e-05,1.0303987711590347e-05,1.053360233659921e-05,1.0528838059478078e-05
7.054738882934063e-06,3.252500570872738e-06,1.6133299228525322e-07,1.0604834223260169e-05,1.0605903875435328e-05,1.0326696441421047e-05,1.0554688831039316e-05,1.0549780549097093e-05
7.128474549371651e-06,3.3637164199164507e-06,1.5580261021755506e-07,1.0624616569539936e-05,1.062566730164017e-05,1.0349105584279848e-05,1.0575390585799377e-05,1.0570350654362748e-05
7.205607820082226e-06,3.477394834105096e-06,1.5049646314502298e-07,1.0644035313739571e-05,1.064506740626486e-05,1.0371214988987082e-05,1.059571380825918e-05,1.0590553960381119e-05
7.286201530764179e-06,3.5935430821115646e-06,1.4540604525320309e-07,1.0663096445992192e-05,1.0664110177706991e-05,1.0393024751899698e-05,1.0615664641913638e-05,1.0610396015671526e-05
7.370318707030836e-06,3.712168795559064e-06,1.405231718575939e-07,1.0681805888238371e-05,1.0682801536053112e-05,1.04145352022062e-05,1.0635249165183976e-05,1.0629882329843914e-05
7.458022518329223e-06,3.83327995416127e-06,1.3583996775210828e-07,1.0700169493491697e-05,1.070114733235268e-05,1.0435746887905871e-05,1.065447339035494e-05,1.0649018371448147e-05
7.549376231531018e-06,3.956884871814679e-06,1.313488559450679e-07,1.071819304520552e-05,1.0719153347992848e-05,1.0456660562442908e-05,1.0673343262631194e-05,1.0667809565986617e-05
7.644443164254481e-06,4.082992183580595e-06,1.2704254677244492e-07,1.0735882256735262e-05,1.0736825294168392e-05,1.04772771719674e-05,1.0691864659306416e-05,1.0686261294081845e-05
7.743286637980238e-06,4.211610833498683e-06,1.2291402737813576e-07,1.0753242770890917e-05,1.0754168811441448e-05,1.0497597843196164e-05,1.0710043389038863e-05,1.0704378889791243e-05
7.845969931027649e-06,4.342750063177988e-06,1.1895655155112996e-07,1.0770280159574552e-05,1.0771189469385931e-05,1.0517623871847594e-05,1.072788519122758e-05,1.0722167639061475e-05
7.95255623146181e-06,4.476419401115163e-06,1.1516362990954217e-07,1.0786999923497989e-05,1.0787892766311751e-05,1.05373567116258e-05,1.0745395735483552e-05,1.0739632778315247e-05
8.06310859000454e-06,4.612628652692969e-06,1.1152902042159745e-07,1.080340749197594e-05,1.0804284129064205e-05,1.0556797963730305e-05,1.0762580621190514e-05,1.0756779493163674e-05
8.177689873025444e-06,4.75138789081553e-06,1.080467192537874e-07,1.0819508222790252e-05,1.0820368912894089e-05,1.0575949366868488e-05,1.0779445377150251e-05,1.0773612917237673e-05
8.296362715691619e-06,4.892707447139646e-06,1.0471095193656116e-07,1.0835307402120937e-05,1.0836152401394413e-05,1.0594812787749074e-05,1.0795995461307603e-05,1.0790138131132116e-05
8.419189475356705e-06,5.036597903864332e-06,1.0151616483807573e-07,1.0850810244540084e-05,1.0851639806499598e-05,1.061339021203569e-05,1.0812236260550445e-05,1.080636016145684e-05
8.546232185271803e-06,5.183070086043353e-06,9.84570169366849e-08,1.086602189306475e-05,1.0866836268543431e-05,1.0631683735740516e-05,1.082817309058032e-05,1.0822283979988793e-05
8.677552508702033e-06,5.3321350543878255e-06,9.55283718830284e-08,1.0880947419265234e-05,1.0881746856372175e-05,1.0649695557038838e-05,1.084381119584954e-05,1.0837914502919868e-05
8.813211693533742e-06,5.483804098528231e-06,9.27252903427546e-08,1.0895591823425288e-05,1.0896376567509282e-05,1.0667427968486087e-05,1.0859155749560647e-05,1.0853256590195337e-05
8.95327052745781e-06,5.6380887307073266e-06,9.004302261109718e-08,1.0909960034750936e-05,1.0910730328368549e-05,1.0684883349619796e-05,1.087421185372456e-05,1.0868315044937854e-05
9.097789293814948e-06,5.7950006798772305e-06,8.747700149071366e-08,1.0924056911624816e-05,1.0924812994512548e-05,1.0702064159929545e-05,1.0888984539273716e-05,1.0883094612952429e-05
9.246827728188732e-06,5.95455188617584e-06,8.502283542438504e-08,1.0937887241903062e-05,1.0938629350953368e-05,1.071897293217876e-05,1.0903478766226792e-05,1.0897599982307786e-05
9.40044497583152e-06,6.116754495759355e-06,8.26763018743708e-08,1.095145574325188e-05,1.0952184112492844e-05,1.0735612266062844e-05,1.0917699423901714e-05,1.0911835782989911e-05
9.558699550007832e-06,6.281620855969328e-06,8.04333409404079e-08,1.0964767063521164e-05,1.096548192409964e-05,1.075198482218879e-05,1.0931651331173875e-05,1.0925806586623678e-05
9.721649291338266e-06,6.449163510813881e-06,7.829004920854094e-08,1.097782578115257e-05,1.0978527361320591e-05,1.0768093316362085e-05,1.0945339236776556e-05,1.0939516906258695e-05
9.889351328225638e-06,6.6193951967444315e-06,7.624267382316399e-08,1.0990636405619668e-05,1.0991324930723953e-05,1.078394051416724e-05,1.095876781964076e-05,1.0952971196215625e-05
1.0061862038443074e-05,6.792328838710096e-06,7.42876067748591e-08,1.1003203377897808e-05,1.1003879070372148e-05,1.0799529225828913e-05,1.097194168927179e-05,1.0966173851989531e-05
1.0239237011961548e-05,6.967977546473508e-06,7.242137939680266e-08,1.1015531070961576e-05,1.1016194150322027e-05,1.0814862301341122e-05,1.0984865386160023e-05,1.0979129210206809e-05
1.0421531015091674e-05,7.146354611172548e-06,7.064065706271563e-08,1.1027623790307714e-05,1.1028274473150336e-05,1.0829942625852544e-05,1.099754338222345e-05,1.0991841548632562e-05
1.060879795601187e-05,7.327473502113721e-06,6.894223407951949e-08,1.1039485774501567e-05,1.1040124274502631e-05,1.0844773115296496e-05,1.1009980081279704e-05,1.1004315086225367e-05
1.0801090851751571e-05,7.511347863783757e-06,6.732302876805759e-08,1.1051121195745197e-05,1.1051747723663676e-05,1.0859356712254507e-05,1.1022179819545392e-05,1.10165539832365e-05
1.0998461796695024e-05,7.697991513066865e-06,6.578007872542644e-08,1.1062534160465328e-05,1.1063148924147566e-05,1.0873696382043062e-05,1.1034146866160692e-05,1.1028562341350897e-05
1.1200961932667024e-05,7.887418436656044e-06,6.431053626265153e-08,1.1073728709919525e-05,1.107433191430592e-05,1.0887795109013366e-05,1.1045885423737196e-05,1.1040344203867214e-05
1.140864142065854e-05,8.07964278864736e-06,6.291166401162366e-08,1.1084708820818973e-05,1.1085300667952564e-05,1.0901655893054515e-05,1.1057399628927151e-05,1.1051903555914459e-05
1.162154941424546e-05,8.274678888307176e-06,6.158083069539812e-08,1.1095478405966294e-05,1.109605909500317e-05,1.0915281746290825e-05,1.1068693553012431e-05,1.1063244324702858e-05
1.1839734034749666e-05,8.472541218002467e-06,6.03155070561301e-08,1.11060413149071e-05,1.110661104212844e-05,1.092867568996445e-05,1.1079771202511376e-05,1.1074370379806668e-05
1.206324234818686e-05,8.673244421285716e-06,5.911326193510057e-08,1.11164013345938e-05,1.11169602934195e-05,1.0941840751494856e-05,1.109063651980211e-05,1.1085285533476779e-05
1.2292120344041092e-05,8.876803301125582e-06,5.7971758499458344e-08,1.1126562190060425e-05,1.1127110571064188e-05,1.0954779961706998e-05,1.1101293383760676e-05,1.1095993540981084e-05
1.2526412915900748e-05,9.08323281827584e-06,5.688875061046477e-08,1.1136527545107275e-05,1.1137065536033084e-05,1.096749635222046e-05,1.1111745610412688e-05,1.1106498100970644e-05
1.2766163843986163e-05,9.292548089775244e-06,5.586207932820349e-08,1.1146301002994258e-05,1.1146828788774068e-05,1.0979992952992096e-05,1.1121996953597033e-05,1.1116802855869814e-05
1.3011415779593754e-05,9.504764387571252e-06,5.4889669547868223e-08,1.1155886107141714e-05,1.11564038699144e-05,1.0992272790005109e-05,1.1132051105640452e-05,1.1126911392288575e-05
1.3262210231476588e-05,9.71989713726158e-06,5.39695267629056e-08,1.1165286341837876e-05,1.1165794260969216e-05,1.1004338883097677e-05,1.1141911698041748e-05,1.1136827241455395e-05
1.351858755417611e-05,9.937961916947328e-06,5.309973395043896e-08,1.1174505132951857e-05,1.1175003385055574e-05,1.1016194243924672e-05,1.1151582302164427e-05,1.1146553879669043e-05
1.3780586938314723e-05,1.0158974456192077e-05,5.2278448574550214e-08,1.11835458486513e-05,1.118403460761104e-05,1.1027841874046209e-05,1.1161066429936791e-05,1.1156094728767832e-05
1.4048246402853714e-05,1.0382950635082002e-05,5.15038997031458e-08,1.1192411800123854e-05,1.1192891237116012e-05,1.1039284763137011e-05,1.11703675345584e-05,1.1165453156614887e-05
1.4321602789315854e-05,1.060990648338172e-05,5.0774385234268735e-08,1.1201106242301608e-05,1.1201576525818976e-05,1.1050525887310992e-05,1.117948901121194e-05,1.1174632477598096e-05
1.4600691757967303e-05,1.0839858179781538e-05,5.008826922786257e-08,1.1209632374587742e-05,1.121009367046389e-05,1.10615682075554e-05,1.1188434197779624e-05,1.118363595314338e-05
1.4885547785948098e-05,1.1072822051231707e-05,4.9443979339124734e-08,1.1217993341584689e-05,1.1218445813019008e-05,1.10724146682695e-05,1.1197206375563202e-05,1.1192466792240177e-05
1.5176204167335909e-05,1.1308814572359674e-05,4.884000434971928e-08,1.1226192233823083e-05,1.122663604140644e-05,1.1083068195902623e-05,1.1205808770006877e-05,1.1201128151977899e-05
1.547269301512306e-05,1.1547852364966516e-05,4.82748917932445e-08,1.1234232088490897e-05,1.1234667390231866e-05,1.1093531697686893e-05,1.1214244551422217e-05,1.1209623138092296e-05
1.577504526508206e-05,1.1789952197599088e-05,4.7747245671475455e-08,1.124211589016214e-05,1.1242542841513724e-05,1.1103808060459964e-05,1.1222516835714515e-05,1.1217954805520695e-05
1.6083290681490558e-05,1.203513098519453e-05,4.7255724258024144e-08,1.1249846571524584e-05,1.1250265325411363e-05,1.1113900149573503e-05,1.1230628685109784e-05,1.1226126158965137e-05
1.6397457864682426e-05,1.2283405788794022e-05,4.6799037986171314e-08,1.1257427014105911e-05,1.1257837720951656e-05,1.1123810807883102e-05,1.1238583108881789e-05,1.1234140153462462e-05
1.6717574260387516e-05,1.2534793815322885e-05,4.637594741773891e-08,1.1264860048997902e-05,1.1265262856753477e-05,1.1133542854815677e-05,1.12463830640786e-05,1.1241999694960468e-05
1.7043666170818893e-05,1.2789312417434276e-05,4.5985261289987267e-08,1.1272148457578087e-05,1.127254351174972e-05,1.1143099085510531e-05,1.125403145624797e-05,1.1249707640899357e-05
1.737575876746247e-05,1.3046979093413988e-05,4.5625834637617744e-08,1.1279294972228507e-05,1.1279682415906303e-05,1.1152482270030391e-05,1.1261531140161115e-05,1.1257266800797601e-05
1.7713876105520794e-05,1.3307811487143828e-05,4.5296566987071593e-08,1.128630227705112e-05,1.128668225093784e-05,1.116169515263888e-05,1.1268884920534385e-05,1.126467993684157e-05
1.805804113995945e-05,1.3571827388121393e-05,4.4996400620414275e-08,1.1293173008579504e-05,1.129354565101951e-05,1.1170740451141188e-05,1.1276095552748312e-05,1.1271949764478162e-05
1.840827574310128e-05,1.3839044731534106e-05,4.472431890618917e-08,1.1299909756486516e-05,1.1300275203494911e-05,1.1179620856284577e-05,1.1283165743563683e-05,1.1279078953009812e-05
1.876460072371158e-05,1.4109481598385549e-05,4.44793446947197e-08,1.130651506428754e-05,1.1306873449579404e-05,1.1188339031215816e-05,1.1290098151834178e-05,1.1286070126191234e-05
1.912703584751415e-05,1.4383156215672143e-05,4.4260538775430056e-08,1.1312991430039016e-05,1.1313342885058784e-05,1.1196897610992534e-05,1.1296895389215215e-05,1.1292925862827332e-05
1.949559985907637e-05,1.466008695660851e-05,4.40669983938382e-08,1.131934130703204e-05,1.1319685960982924e-05,1.1205299202145678e-05,1.130356002086868e-05,1.1299648697371691e-05
1.9870310504999565e-05,1.4940292340899665e-05,4.389785582596857e-08,1.1325567104480667e-05,1.1325905084354127e-05,1.1213546382290504e-05,1.1310094566163136e-05,1.1306241120525174e-05
2.0251184558348523e-05,1.5223791035058889e-05,4.3752277008001344e-08,1.133167118820477e-05,1.1332002618810013e-05,1.1221641699783435e-05,1.1316501499369348e-05,1.1312705579834117e-05
2.063823784425369e-05,1.551060185276926e-05,4.362946021906655e-08,1.1337655881307138e-05,1.13379808853006e-05,1.1229587673422433e-05,1.1322783250350675e-05,1.1319044480287625e-05
2.1031485266617128e-05,1.580074375528792e-05,4.3528634815157716e-08,1.13435234648447e-05,1.134384216275951e-05,1.1237386792188498e-05,1.1328942205248234e-05,1.132526018491363e-05
2.143094083585334e-05,1.6094235851891557e-05,4.3449060012223427e-08,1.1349276178493645e-05,1.1349588688769011e-05,1.1245041515026132e-05,1.1334980707160451e-05,1.1331355015373194e-05
2.183661769759463e-05,1.6391097400361905e-05,4.339002371655516e-08,1.1354916221208217e-05,1.1355222660218792e-05,1.1252554270660592e-05,1.134090105681694e-05,1.1337331252552777e-05
2.224852816229085e-05,1.669134780751008e-05,4.3350841400673856e-08,1.1360445751873133e-05,1.136074623395824e-05,1.1259927457449909e-05,1.1346705513246283e-05,1.134319113715406e-05
2.266668373563242e-05,1.699500662973881e-05,4.3330855022965865e-08,1.136586688994939e-05,1.1366161527442152e-05,1.1267163443269788e-05,1.1352396294437818e-05,1.1348936870280992e-05
2.309109514972596e-05,1.7302093573641184e-05,4.3329431989400676e-08,1.1371181716113375e-05,1.1371470619369752e-05,1.1274264565429503e-05,1.1357975577996976e-05,1.1354570614023805e-05
2.352177239495213e-05,1.7612628496635364e-05,4.3345964155716127e-08,1.137639227288916e-05,1.1376675550316803e-05,1.1281233130617009e-05,1.1363445501794236e-05,1.136009449203963e-05
2.395872475243504e-05,1.7926631407634074e-05,4.33798668685138e-08,1.1381500565273874e-05,1.1381778323360857e-05,1.1288071414871617e-05,1.1368808164607437e-05,1.1365510590129518e-05
2.4401960827054064e-05,1.8244122467747965e-05,4.3430578043774985e-08,1.1386508561356051e-05,1.13867809046994e-05,1.1294781663582664e-05,1.1374065626757307e-05,1.1370820956811568e-05
2.485148858092894e-05,1.856512199102217e-05,4.34975572813556e-08,1.13914181929269e-05,1.1391685224260969e-05,1.1301366091512554e-05,1.1379219910736269e-05,1.1376027603889964e-05
2.5307315367310293e-05,1.8889650445205216e-05,4.358028501407302e-08,1.1396231356084383e-05,1.1396493176309042e-05,1.130782688284278e-05,1.1384273001830162e-05,1.1381132507019686e-05
2.5769447964809063e-05,1.9217728452549484e-05,4.367826169005521e-08,1.140094991183012e-05,1.140120662003871e-05,1.1314166191241552e-05,1.138922684873302e-05,1.13861376062667e-05
2.6237892611899084e-05,1.954937679064252e-05,4.3791006987065433e-08,1.1405575686658958e-05,1.1405827380166051e-05,1.1320386139951631e-05,1.1394083364154695e-05,1.1391044806663467e-05
2.6712655041629067e-05,1.9884616393268663e-05,4.3918059057569295e-08,1.1410110473141285e-05,1.141035724751022e-05,1.1326488821897171e-05,1.1398844425421327e-05,1.1395855978759565e-05
2.719374051648133e-05,2.0223468351300084e-05,4.405897380335503e-08,1.1414556030497937e-05,1.1414797979568126e-05,1.1332476299808331e-05,1.140351187506856e-05,1.1400572959167306e-05
2.768115386331671e-05,2.0565953913616965e-05,4.4213324178564615e-08,1.14189140851678e-05,1.1419151301081768e-05,1.1338350606362531e-05,1.1408087521427471e-05,1.14051975511022e-05
2.8174899508346543e-05,2.091209448805587e-05,4.438069952003264e-08,1.1423186331367955e-05,1.1423418904598174e-05,1.134411374434124e-05,1.141257313920321e-05,1.1409731524918095e-05
2.8674981512074805e-05,2.1261911642386e-05,4.456070490387829e-08,1.1427374431646473e-05,1.142760245102191e-05,1.1349767686801264e-05,1.1416970470046249e-05,1.141417661863698e-05
2.9181403604155333e-05,2.1615427105312867e-05,4.475296052732896e-08,1.1431480017427766e-05,1.1431703570160183e-05,1.1355314377259545e-05,1.1421281223116256e-05,1.1418534538473204e-05
2.9694169218111197e-05,2.1972662767508456e-05,4.49571011147974e-08,1.1435504689550568e-05,1.1435723861260567e-05,1.136075572989051e-05,1.142550707563864e-05,1.142280695935217e-05
3.021328152586531e-05,2.2333640682668052e-05,4.5172775347269176e-08,1.1439450018798498e-05,1.143966489354127e-05,1.136609362973512e-05,1.1429649673453606e-05,1.1426995525423272e-05
3.073874347203395e-05,2.269838306859252e-05,4.53996453140958e-08,1.1443317546423256e-05,1.1443528206714067e-05,1.1371329932920696e-05,1.1433710631557877e-05,1.1431101850567135e-05
3.127055780793641e-05,2.306691230829636e-05,4.563738598631721e-08,1.144710878466045e-05,1.1447315311499857e-05,1.1376466466890777e-05,1.1437691534638976e-05,1.143512751889698e-05
3.180872712527736e-05,2.3439250951140423e-05,4.5885684710683145e-08,1.1450825217238071e-05,1.1451027690136833e-05,1.1381505030644173e-05,1.1441593937602174e-05,1.1439074085254155e-05
3.235325388945939e-05,2.381542171398939e-05,4.6144240723558384e-08,1.1454468299877693e-05,1.1454666796881423e-05,1.1386447394982556e-05,1.1445419366089995e-05,1.1442943075697697e-05
3.2904140472487106e-05,2.419544748239327e-05,4.6412764683939874e-08,1.145803946078833e-05,1.145823405850186e-05,1.1391295302765817e-05,1.1449169316994444e-05,1.1446735987987948e-05
3.346138918542521e-05,2.4579351311792855e-05,4.669097822484505e-08,1.1461540101153144e-05,1.1461730874764545e-05,1.1396050469174566e-05,1.1452845258961827e-05,1.1450454292064159e-05
3.402500231037622e-05,2.4967156428748464e-05,4.69786135223438e-08,1.1464971595608847e-05,1.1465158618913227e-05,1.1400714581979154e-05,1.1456448632890366e-05,1.1454099430516066e-05
3.459498213194517e-05,2.535888623219186e-05,4.7275412881554566e-08,1.1468335292718018e-05,1.1468518638140978e-05,1.1405289301814575e-05,1.145998085242047e-05,1.145767281904941e-05
3.5171330968161534e-05,2.575456429470093e-05,4.7581128338934346e-08,1.147163251543426e-05,1.1471812254055088e-05,1.140977626246074e-05,1.1463443304417834e-05,1.1461175846945411e-05
3.5754051200830587e-05,2.615421436379673e-05,4.789552128023251e-08,1.147486456156032e-05,1.1475040763134853e-05,1.1414177071127556e-05,1.1466837349449315e-05,1.1464609877514136e-05
3.634314530528875e-05,2.6557860363262713e-05,4.8218362073486625e-08,1.1478032704199193e-05,1.1478205437182403e-05,1.1418493308744256e-05,1.1470164322251712e-05,1.1467976248541829e-05
3.693861587953959e-05,,4.8885261063245466e-08,1.148424438061405e-05,1.1484410308594178e-05,1.1422726530252614e-05,1.1473425532193395e-05,1.1471276272732125e-05
3.754046567275003e-05,,4.956366729195627e-08,1.1489138326010188e-05,1.148929753876137e-05,1.1426961331660922e-05,1.147668620587044e-05,1.1474575946938312e-05
3.814869761308735e-05,,5.0251426380447027e-08,1.1492843336746378e-05,1.1492995956771937e-05,1.143118901222994e-05,1.1479938132528232e-05,1.1477867040174219e-05
3.876331483488076e-05,,5.0946600147724754e-08,1.1495480289650554e-05,1.1495626465375278e-05,1.1435401056930336e-05,1.1483173315716962e-05,1.1481141533749693e-05
3.938432070509248e-05,,5.164746184497405e-08,1.1497161903990676e-05,1.1497301803972212e-05,1.143958915155064e-05,1.1486383986268127e-05,1.1484391634386595e-05
4.001171884908637e-05,,5.2352488782557224e-08,1.149799270820021e-05,1.1498126516223862e-05,1.1443745196917398e-05,1.1489562614168122e-05,1.1487609786245775e-05
4.064551317568281e-05,,5.3060352939012897e-08,1.1498069160849498e-05,1.1498197071787424e-05,1.1447861322211729e-05,1.1492701919347942e-05,1.1490788681881815e-05
4.128570790149133e-05,,5.376991006717197e-08,1.1497479885199615e-05,1.1497602101530264e-05,1.1451929897367884e-05,1.1495794881408083e-05,1.149392127214223e-05
4.193230757451408e-05,,5.4480187743073264e-08,1.1496305984804785e-05,1.1496422713701465e-05,1.1455943544538162e-05,1.1498834748295167e-05,1.1497000775025552e-05
4.258531709701482e-05,,5.51903727390424e-08,1.1494621414317766e-05,1.1494732865227037e-05,1.1459895148608832e-05,1.1501815043945877e-05,1.1500020683511698e-05
4.324474174765005e-05,,5.589979804336291e-08,1.1492493385135976e-05,1.1492599767776596e-05,1.1463777866752852e-05,1.15047295749135e-05,1.1502974772378013e-05
4.3910587202859895e-05,,5.66079297955416e-08,1.148998279000362e-05,1.1490084312725984e-05,1.1467585137007316e-05,1.150757243599291e-05,1.1505857104014816e-05
4.458285955751915e-05,,5.731435435822514e-08,1.1487144634326871e-05,1.1487241502780646e-05,1.1471310685866102e-05,1.15103380148606e-05,1.1508662033255382e-05
4.526156534484888e-05,,5.8018765704136e-08,1.1484028464907291e-05,1.1484120880972011e-05,1.1474948534881522e-05,1.1513020995748027e-05,1.151138421123693e-05
4.594671155559106e-05,,5.872095325880602e-08,1.1480678789173954e-05,1.148076695011329e-05,1.1478493006272277e-05,1.151561636216812e-05,1.1514018588310946e-05
4.6638305656450775e-05,,5.9420790306996615e-08,1.1477135479897248e-05,1.1477219577703071e-05,1.1481938727538924e-05,1.1518119398716876e-05,1.1516560416023435e-05
4.7336355607810026e-05,,6.011822304223817e-08,1.1473434161881758e-05,1.1473514382778664e-05,1.1485280635092284e-05,1.152052569197416e-05,1.1519005248187948e-05
4.804086988071991e-05,,6.081326031449884e-08,1.1469606578331922e-05,1.1469683102416974e-05,1.1488513976904285e-05,1.1522831130530128e-05,1.152134894107666e-05
4.875185747317845e-05,,6.150596411026014e-08,1.146568093552086e-05,1.1465753936516765e-05,1.1491634314195117e-05,1.152503190416595e-05,1.152358765275733e-05
4.946932792570212e-05,,6.219644078187592e-08,1.146168222511835e-05,1.1461751870221354e-05,1.14946375221747e-05,1.1527124502219893e-05,1.1525717841606253e-05
5.019329133620072e-05,,6.288483302863588e-08,1.1457632524088505e-05,1.1457698973894956e-05,1.1497519789860585e-05,1.152910571117196e-05,1.1527736264029794e-05
5.0923758374165366e-05,,6.357131262018916e-08,1.145355127248438e-05,1.1453614680982189e-05,1.1500277618998369e-05,1.1530972611482482e-05,1.1529639971429299e-05
5.166074029418087e-05,,6.42560738434993e-08,1.1449455529772948e-05,1.144951604438614e-05,1.150290782211439e-05,1.1532722573721913e-05,1.1531426306446209e-05
5.240424894877397e-05,,6.493932764708389e-08,1.144536021054174e-05,1.1445417972218103e-05,1.1505407519734008e-05,1.1534353254030872e-05,1.1533092898526151e-05
5.315429680061054e-05,,6.562129645063066e-08,1.1441278300586656e-05,1.144133344391983e-05,1.1507774136801812e-05,1.1535862588951122e-05,1.153463765884241e-05
5.3910896934053367e-05,,6.63022095839366e-08,1.1437221054473633e-05,1.1437273707852487e-05,1.1510005398343171e-05,1.1537248789669308e-05,1.1536058774620615e-05
5.4674063066096045e-05,,6.69822993162818e-08,1.1433198175717548e-05,1.1433248461496562e-05,1.1512099324408896e-05,1.153851033571656e-05,1.1537354702907694e-05
5.544380955668549e-05,,6.766179743559576e-08,1.1429217980739328e-05,1.1429266015424864e-05,1.1514054224347094e-05,1.1539645968167756e-05,1.153852416382902e-05
5.622015141844827e-05,,6.834093233594737e-08,1.1425287547755338e-05,1.1425333442203356e-05,1.1515868690448074e-05,1.1540654682384872e-05,1.1539566133378376e-05
5.700310432583613e-05,,6.901992657181762e-08,1.1421412851727372e-05,1.1421456711348988e-05,1.15175415910096e-05,1.154153572034914e-05,1.154047983578573e-05
5.779268462370512e-05,,6.969899483815309e-08,1.141759888646283e-05,1.141764081143457e-05,1.151907206287104e-05,1.1542288562626844e-05,1.1541264735507964e-05
5.858890933534467e-05,,7.037834233624326e-08,1.1413849774906313e-05,1.1413889860382618e-05,1.1520459503465554e-05,1.154291292001328e-05,1.154192052888758e-05
5.939179616997209e-05,,7.105816348687997e-08,1.1410168868609674e-05,1.1410207204935509e-05,1.1521703562440014e-05,1.1543408724899186e-05,1.1542447135523986e-05
6.020136352970862e-05,,7.173864095397899e-08,1.1406558837309572e-05,1.1406595510231409e-05,1.1522804132892358e-05,1.1543776122403051e-05,1.154284468940146e-05
6.101763051605321e-05,,7.24199449437756e-08,1.140302174948198e-05,1.1403056840355845e-05,1.1523761342275912e-05,1.1544015461312028e-05,1.1543113529816944e-05
6.184061693587029e-05,,7.31022327467789e-08,1.139955914468332e-05,1.139959273067875e-05,1.1524575543019668e-05,1.1544127284873068e-05,1.154325419214988e-05
6.267034330690812e-05,,7.378564849184714e-08,1.139617209842899e-05,1.1396204252728005e-05,1.1525247302912676e-05,1.1544112321474595e-05,1.154326739851507e-05
6.350683086286368e-05,,7.44703230839493e-08,1.1392861280302746e-05,1.1392892072293248e-05,1.152577739529972e-05,1.154397147525768e-05,1.1543154048338036e-05
6.435010155801087e-05,,7.515637429939774e-08,1.1389627005935593e-05,1.13896565013986e-05,1.1526166789134088e-05,1.1543705816694102e-05,1.1542915208890997e-05
6.52001780714083e-05,,7.584390701452167e-08,1.1386469283440474e-05,1.1386497544730892e-05,1.1526416638931749e-05,1.1543316573166998e-05,1.1542552105825734e-05
6.605708381070292e-05,,7.65330135458874e-08,1.1383387854839695e-05,1.1383414941060332e-05,1.1526528274669636e-05,1.1542805119587972e-05,1.1542066113737866e-05
6.692084291554557e-05,,7.722377408222455e-08,1.1380382232975688e-05,1.1380408200144425e-05,1.1526503191668786e-05,1.1542172969082697e-05,1.154145874679523e-05
6.779148026063492e-05,,7.791625719019865e-08,1.1377451734352485e-05,1.1377476635562478e-05,1.152634304050108e-05,1.1541421763775043e-05,1.1540731649460956e-05
6.866902145840525e-05,,7.861052037803482e-08,1.1374595508315076e-05,1.1374619393888066e-05,1.1526049616956329e-05,1.154055326569776e-05,1.153988658733991e-05
6.955349286137388e-05,,7.930661070276178e-08,1.1371812562936616e-05,1.1371835480569304e-05,1.152562485210411e-05,1.153956934785561e-05,1.1538925438174991e-05
7.044492156416463e-05,,8.000456540850352e-08,1.1369101787949098e-05,1.1369123782852814e-05,1.1525070802482586e-05,1.153847198546493e-05,1.1537850183017824e-05
7.134333540522117e-05,,8.070441258478562e-08,1.1366461975021632e-05,1.1366483090055329e-05,1.152438964044406e-05,1.1537263247391306e-05,1.153666289759602e-05
7.224876296822703e-05,,8.14061718352291e-08,1.1363891835661476e-05,1.136391211145826e-05,1.152358364468482e-05,1.1535945287805111e-05,1.1535365743897315e-05
7.316123358324532e-05,,8.210985494834662e-08,1.1361390016986424e-05,1.1361409492073844e-05,1.1522655190984357e-05,1.1534520338072482e-05,1.1533960961988702e-05
7.408077732759507e-05,,8.28154665633273e-08,1.135895511559314e-05,1.1358973826507349e-05,1.152160674317662e-05,1.1532990698897394e-05,1.1532450862086503e-05
7.500742502647611e-05,,8.352300482480708e-08,1.1356585689723758e-05,1.1356603671117855e-05,1.1520440844373716e-05,1.1531358732728371e-05,1.1530837816891518e-05
7.59412082533582e-05,,8.42324620216022e-08,1.135428026991324e-05,1.1354297554659968e-05,1.1519172738495651e-05,1.1529643935032584e-05,1.1529141152732017e-05
7.688215933014752e-05,,8.494382520528388e-08,1.1352037368281596e-05,1.1352053987570596e-05,1.1517816607345468e-05,1.1527859813584283e-05,1.152737440847966e-05
7.783031132714427e-05,,8.56570767852736e-08,1.134985548661862e-05,1.1349871470048564e-05,1.151638532431433e-05,1.1526018565840782e-05,1.1525549812694122e-05
