One Model With Late Self Training,Two Models With Late Self Training,Zipf Two Models With Late Self Training,"Zipf Two Models With q(t), S(t), and C(x,f)",Zipf_Two_Models_q_S_C,Zipf_n2_qS_ramp_KLJS,Zipf_n1_qS_ramp_KLJS,Zipf_n10_qS_ramp_KLJS
7.27724532383015e-06,1.9767402925562517e-06,2.0057938721742996e-06,8.115663494154562e-06,8.118405319341335e-06,8.707518030338584e-06,7.973828188306569e-06,8.085115608264784e-06
7.217891985871835e-06,1.8632817982059908e-06,1.93252231002164e-06,8.173430999529912e-06,8.176154814307469e-06,8.70931670546751e-06,8.032964541035625e-06,8.138584334973296e-06
7.160493198097272e-06,1.7576288416130249e-06,1.86177263640376e-06,8.230557060278052e-06,8.233261777561495e-06,8.713340341884743e-06,8.091492758129128e-06,8.191694529941705e-06
7.1049774593136845e-06,1.659338723226727e-06,1.7934705033529962e-06,8.287033323967162e-06,8.289717934805589e-06,8.719454286521067e-06,8.149401414196309e-06,8.244424380236894e-06
7.051279601273176e-06,1.5680063579719571e-06,1.7275428327698953e-06,8.34285248535492e-06,8.34551605521165e-06,8.727530167790985e-06,8.206680277714284e-06,8.296753688580496e-06
6.9993404180383375e-06,1.483260735051e-06,1.6639178738904118e-06,8.398008229030967e-06,8.400649894217378e-06,8.737445628174303e-06,8.263320248639043e-06,8.348663793978628e-06
6.949106322504374e-06,1.404761751941647e-06,1.6025252518178356e-06,8.452495174653949e-06,8.455114138911238e-06,8.749084067647717e-06,8.31931329867783e-06,8.400137495700695e-06
6.900529027965977e-06,1.3321973788993548e-06,1.5432960078565476e-06,8.50630882468127e-06,8.508904355904593e-06,8.762334397543386e-06,8.374652414130161e-06,8.451158980485797e-06
6.85356525279404e-06,1.2652811158135878e-06,1.4861626323364735e-06,8.559445514492704e-06,8.56201694159232e-06,8.777090804427295e-06,8.429331541206481e-06,8.501713752858302e-06
6.808176446447654e-06,1.203749708059377e-06,1.4310590905714558e-06,8.611902364811919e-06,8.614449074706172e-06,8.793252523605391e-06,8.483345533735311e-06,8.551788568437244e-06
6.764328535192371e-06,1.1473610921316722e-06,1.3779208425515025e-06,8.663677236332992e-06,8.666198671068125e-06,8.810723621880148e-06,8.536690103171715e-06,8.601371370127398e-06
6.721991686027671e-06,1.0958925454436758e-06,1.3266848569279183e-06,8.714768686461954e-06,8.717264340453879e-06,8.829412789194395e-06,8.589361770821906e-06,8.650451227082893e-06
6.681140087446625e-06,1.049139017789016e-06,1.2772896198117235e-06,8.765175928086303e-06,8.767645345479659e-06,8.849233138812795e-06,8.641357822200946e-06,8.699018276337486e-06
6.64175174575967e-06,1.0069116246777853e-06,1.2296751388692691e-06,8.814898790288344e-06,8.817341562428323e-06,8.870102015704516e-06,8.6926762634426e-06,8.747063666998698e-06
6.603808295813626e-06,9.69036285114994e-07,1.1837829431646283e-06,8.863937680921133e-06,8.866353443933681e-06,8.891940812803365e-06,8.74331577968256e-06,8.794579506906106e-06
6.567294825027281e-06,9.353524884453192e-07,1.139556079165998e-06,8.912293550968527e-06,8.914681983444726e-06,8.914674794833712e-06,8.793275695338509e-06,8.841558811657257e-06
6.5321997097471496e-06,9.057121766818348e-07,1.096939103302905e-06,8.959967860613757e-06,8.962328681394274e-06,8.938232929402498e-06,8.842555936212626e-06,8.887995455907637e-06
6.498514463001884e-06,8.799787303039676e-07,1.055878071432506e-06,9.006962546943538e-06,9.009295512999262e-06,8.962547725068783e-06,8.891156993344392e-06,8.933884126854253e-06
6.466233592802253e-06,8.580260468818874e-07,1.0163205255463855e-06,9.053279993217476e-06,9.05558489762251e-06,8.987555076113404e-06,8.939079888543782e-06,8.97922027981527e-06
6.435354470195989e-06,8.397377030868957e-07,9.78215478024163e-07,9.098922999635174e-06,9.10119966962852e-06,9.013194113741731e-06,8.986326141537039e-06,9.024000095821185e-06
6.405877206343954e-06,8.250061917025835e-07,9.415133937166712e-07,9.143894755535838e-06,9.146143050668306e-06,9.039407063462811e-06,9.032897738659505e-06,9.0682204411358e-06
6.377804537936232e-06,8.137322261788697e-07,9.061661701193984e-07,9.188198812967892e-06,9.190418623330752e-06,9.066139108397926e-06,9.078797103032089e-06,9.111878828628192e-06
6.351141720314557e-06,8.058241060871023e-07,8.721271158762972e-07,9.231839061568318e-06,9.234030306100514e-06,9.093338258281058e-06,9.124027066160066e-06,9.154973380919547e-06
