MSE_f1_H,MSE_f2_H,q(t),H_ratio,MSE_f1_H_2,MSE_f2_H_2,q(t)_2,H_ratio_2
6.133632513998158e-10,6.160033051119474e-10,0.004609219194983,0.9989393600338996,6.133632513998158e-10,6.160033051119475e-10,0.00460921919498305,0.9989393600338995
6.233002799517477e-10,6.2621487475678e-10,0.0046138105894211,0.9989382051086864,6.233002799517477e-10,6.262148747567801e-10,0.0046138105894211415,0.9989382051086863
6.332560086820565e-10,6.364043128865897e-10,0.0046182364392779,0.9989370963225372,6.332560086820566e-10,6.364043128865898e-10,0.004618236439277968,0.9989370963225371
6.43201632653698e-10,6.465467856096637e-10,0.0046225028565207,0.9989360317834004,6.432016326536981e-10,6.465467856096638e-10,0.00462250285652075,0.9989360317834005
6.531114792147808e-10,6.566202498023436e-10,0.0046266157214365,0.9989350096787144,6.531114792147809e-10,6.566202498023436e-10,0.004626615721436544,0.9989350096787144
6.629627395048441e-10,6.666052125189065e-10,0.0046305806916252,0.9989340282720162,6.629627395048441e-10,6.666052125189066e-10,0.004630580691625275,0.9989340282720162
6.727352211877951e-10,6.764845094041888e-10,0.0046344032106327,0.9989330858996944,6.727352211877951e-10,6.764845094041889e-10,0.004634403210632798,0.9989330858996943
6.824111207900128e-10,6.862431006621478e-10,0.0046380885162515,0.9989321809678798,6.824111207900128e-10,6.862431006621479e-10,0.0046380885162515375,0.9989321809678798
6.919748141433831e-10,6.958678832413665e-10,0.0046416416484965,0.9989313119494694,6.919748141433832e-10,6.958678832413666e-10,0.004641641648496564,0.9989313119494694
7.014126635463237e-10,7.05347517999544e-10,0.0046450674572626,0.9989304773812746,7.014126635463238e-10,7.053475179995441e-10,0.004645067457262675,0.9989304773812746
7.107128403603489e-10,7.14672270701313e-10,0.0046483706096846,0.9989296758612964,7.107128403603489e-10,7.14672270701313e-10,0.004648370609684616,0.9989296758612963
7.19865161855954e-10,7.238338657896601e-10,0.0046515555972087,0.9989289060461112,7.19865161855954e-10,7.238338657896602e-10,0.004651555597208756,0.9989289060461113
7.288609412119302e-10,7.328253519515184e-10,0.0046546267423838,0.9989281666483752,7.288609412119302e-10,7.328253519515185e-10,0.004654626742383883,0.9989281666483752
7.376928496537096e-10,7.416409785705257e-10,0.0046575882053878,0.9989274564344296,7.376928496537096e-10,7.416409785705257e-10,0.004657588205387842,0.9989274564344296
7.463547897944288e-10,7.502760822295653e-10,0.0046604439902942,0.9989267742220131,7.463547897944289e-10,7.502760822295653e-10,0.004660443990294216,0.9989267742220131
7.548417793115789e-10,7.587269824873437e-10,0.0046631979510945,0.998926118878072,7.548417793115789e-10,7.587269824873438e-10,0.004663197951094578,0.9989261188780719
7.631498441591462e-10,7.669908862126716e-10,0.00466585379748,0.9989254893166624,7.631498441591463e-10,7.669908862126716e-10,0.0046658537974800796,0.9989254893166625
7.712759205748625e-10,7.750657998138487e-10,0.0046684151004023,0.9989248844969466,7.712759205748625e-10,7.750657998138488e-10,0.004668415100402323,0.9989248844969466
7.792177651982961e-10,7.82950448750341e-10,0.004670885297408,0.9989243034212716,7.792177651982961e-10,7.829504487503411e-10,0.004670885297408067,0.9989243034212715
7.869738726680774e-10,7.906442037604567e-10,0.0046732676977636,0.998923745133334,7.869738726680774e-10,7.906442037604568e-10,0.0046732676977636394,0.9989237451333339
7.945434001137003e-10,7.981470132816413e-10,0.0046755654873865,0.9989232087164212,7.945434001137004e-10,7.981470132816413e-10,0.004675565487386502,0.9989232087164212
8.019260980024031e-10,8.054593415791085e-10,0.0046777817335737,0.9989226932917324,8.019260980024032e-10,8.054593415791085e-10,0.0046777817335737605,0.9989226932917324
8.091222468420314e-10,8.125821121360445e-10,0.0046799193895459,0.9989221980167678,8.091222468420315e-10,8.125821121360446e-10,0.004679919389545906,0.9989221980167678
8.161325992797342e-10,8.195166558918738e-10,0.0046819812988152,0.9989217220837894,8.161325992797343e-10,8.195166558918738e-10,0.004681981298815275,0.9989217220837894
8.229583271701906e-10,8.262646639464414e-10,0.004683970199382,0.9989212647183484,8.229583271701907e-10,8.262646639464414e-10,0.004683970199382071,0.9989212647183485
8.296009732208372e-10,8.328281443777028e-10,0.0046858887277597,0.9989208251778772,8.296009732208373e-10,8.328281443777029e-10,0.004685888727759791,0.9989208251778772
8.360624068507887e-10,8.392093828467151e-10,0.0046877394228539,0.9989204027503382,8.360624068507887e-10,8.39209382846715e-10,0.004687739422853987,0.9989204027503382
8.423447839278916e-10,8.454109066885582e-10,0.0046895247296791,0.9989199967529356,8.423447839278917e-10,8.454109066885583e-10,0.004689524729679162,0.9989199967529357
8.484505100749518e-10,8.514354522115216e-10,0.0046912470029271,0.9989196065308829,8.484505100749518e-10,8.514354522115216e-10,0.004691247002927157,0.9989196065308829
8.543822072585464e-10,8.572859349474398e-10,0.0046929085104095,0.998919231456216,8.543822072585464e-10,8.572859349474399e-10,0.004692908510409599,0.998919231456216
8.601426833971805e-10,8.629654226157925e-10,0.0046945114363539,0.9989188709266684,8.601426833971805e-10,8.629654226157925e-10,0.004694511436353932,0.9989188709266683
8.657349047448247e-10,8.684771105830231e-10,0.0046960578845763,0.9989185243645864,8.657349047448248e-10,8.684771105830232e-10,0.004696057884576366,0.9989185243645865
8.711619708251873e-10,8.738242996146784e-10,0.00469754988152,0.9989181912158962,8.711619708251874e-10,8.738242996146785e-10,0.004697549881520025,0.9989181912158962
8.764270917094068e-10,8.790103757335726e-10,0.0046989893791947,0.9989178709491128,8.764270917094069e-10,8.790103757335727e-10,0.0046989893791947075,0.9989178709491128
8.815335674453605e-10,8.840387920122181e-10,0.0047003782579799,0.9989175630543912,8.815335674453605e-10,8.840387920122182e-10,0.004700378257979998,0.9989175630543913
8.864847694627342e-10,8.889130521404119e-10,0.0047017183293367,0.9989172670426224,8.864847694627342e-10,8.889130521404119e-10,0.0047017183293367685,0.9989172670426225
8.912841237902103e-10,8.936366956211498e-10,0.0047030113384012,0.9989169824445616,8.912841237902104e-10,8.936366956211498e-10,0.004703011338401231,0.9989169824445617
8.959350959352627e-10,8.982132844601745e-10,0.0047042589664825,0.9989167088100014,8.959350959352628e-10,8.982132844601746e-10,0.0047042589664825,0.9989167088100014
9.004411772878331e-10,9.026463912240332e-10,0.0047054628334662,0.9989164457069744,9.004411772878332e-10,9.026463912240332e-10,0.00470546283346629,0.9989164457069744
9.048058729200054e-10,9.069395883520059e-10,0.0047066245001174,0.9989161927209932,9.048058729200054e-10,9.069395883520061e-10,0.004706624500117496,0.9989161927209933
9.090326906645192e-10,9.110964386154643e-10,0.0047077454703028,0.998915949454322,9.090326906645192e-10,9.110964386154643e-10,0.004707745470302883,0.9989159494543219
9.131251313634467e-10,9.151204866276831e-10,0.004708827193122,0.9989157155252796,9.131251313634469e-10,9.151204866276833e-10,0.004708827193122001,0.9989157155252797
9.170866801869575e-10,9.190152513132459e-10,0.0047098710649533,0.9989154905675728,9.170866801869577e-10,9.190152513132459e-10,0.004709871064953397,0.9989154905675729
9.209207989306224e-10,9.227842192551027e-10,0.0047108784314293,0.9989152742296568,9.209207989306223e-10,9.227842192551027e-10,0.0047108784314293,0.9989152742296568
9.246309192063195e-10,9.264308388418891e-10,0.0047118505893301,0.998915066174124,9.246309192063197e-10,9.264308388418893e-10,0.004711850589330125,0.9989150661741241
9.282204364485201e-10,9.299585151462175e-10,0.0047127887884003,0.9989148660771192,9.2822043644852e-10,9.299585151462177e-10,0.004712788788400313,0.9989148660771191
9.316927046646571e-10,9.333706054682915e-10,0.0047136942331088,0.9989146736277787,9.316927046646571e-10,9.333706054682915e-10,0.004713694233108812,0.9989146736277787
9.35051031863137e-10,9.366704154862014e-10,0.004714568084326,0.9989144885276946,9.35051031863137e-10,9.366704154862014e-10,0.0047145680843260875,0.9989144885276946
