0.0,Self Learning Always On,Self Learning On at 15%,Self Learning On at 50%
1.2984551261587327e-05,1.4250044794308673e-05,1.02222835976937e-05,1.2984551261587329e-05
1.2543480553664846e-05,1.4091627259390125e-05,9.9505147988115e-06,1.2543480553664846e-05
1.2115161988333874e-05,1.394349701342341e-05,9.692747202081427e-06,1.2115161988333874e-05
1.169938360648242e-05,1.3805114691672584e-05,9.44800781661244e-06,1.169938360648242e-05
1.1295924768961445e-05,1.367597045719932e-05,9.215395947943915e-06,1.1295924768961445e-05
1.0904557371741098e-05,1.355558286122974e-05,8.994077570283873e-06,1.0904557371741098e-05
1.0525046982716937e-05,1.3443497686184409e-05,8.783280160017624e-06,1.0525046982716937e-05
1.0157153902439576e-05,1.3339286784130376e-05,8.582287953881758e-06,1.0157153902439576e-05
9.800634151292609e-06,1.3242546921228832e-05,8.390437597496688e-06,9.800634151292607e-06
9.455240385833709e-06,1.3152898636824447e-05,8.207114152245458e-06,9.116105889082247e-06
9.120722747151628e-06,1.306998512413946e-05,8.031747430745881e-06,8.488075231870778e-06
8.796829644184346e-06,1.2993471138077642e-05,7.863808633360104e-06,7.910925198534895e-06
8.483308474998219e-06,1.2923041934391418e-05,7.702807260299533e-06,7.379672865903315e-06
8.17990628904992e-06,1.2858402243398212e-05,7.548288275897718e-06,6.889895297342312e-06
7.886370393448067e-06,1.2799275280529665e-05,7.399829503528525e-06,6.437663343590111e-06
7.602448906203542e-06,1.2745401795240272e-05,7.25703923143546e-06,6.019482849354428e-06
7.327891259411058e-06,1.2696539159171771e-05,7.119554011407396e-06,5.6322426939233386e-06
7.062448655242742e-06,1.2652460493950098e-05,6.987036633786212e-06,5.273169043995755e-06
6.805874477560255e-06,1.2612953838567343e-05,6.859174263725461e-06,4.939785187496976e-06
6.557924661868208e-06,1.257782135595851e-05,6.735676724939793e-06,4.629876335579305e-06
6.318358026240064e-06,1.254687857811021e-05,6.616274918397857e-06,4.341458816095578e-06
6.086936565750814e-06,1.251995368882465e-05,6.500719364522381e-06,4.072753127849819e-06
5.863425712849627e-06,1.2496886843098471e-05,6.388778858476642e-06,3.822160375335207e-06
5.6475945660022225e-06,1.2477529521954102e-05,6.2802392290429695e-06,3.5882416546923693e-06
5.439216088827781e-06,1.246174392147403e-05,6.174902192442775e-06,3.3697000108386663e-06
5.238067281850011e-06,1.2449402374730302e-05,6.072584293215559e-06,3.1653646316956605e-06
5.043929328877239e-06,1.2440386805266747e-05,5.973115924972104e-06,2.974176987434352e-06
4.856587719922893e-06,1.243458821077652e-05,5.876340424471136e-06,2.7951786603902192e-06
4.675832352476042e-06,1.2431906175617672e-05,5.7821132330440924e-06,2.62750064479822e-06
4.501457612832134e-06,1.24322484108227e-05,5.690301119914881e-06,2.4703539249695277e-06
4.333262439097329e-06,1.243553032028054e-05,5.600781462435345e-06,2.323021166286748e-06
4.17105036738589e-06,1.2441674591800076e-05,5.513441578686882e-06,2.184849375787461e-06
4.014629562639431e-06,1.2450610811800466e-05,5.428178108288736e-06,2.055243408503977e-06
3.863812835409392e-06,1.2462275102414048e-05,5.344896437607266e-06,1.933660212485588e-06
3.718417645860264e-06,1.2476609779831162e-05,5.263510165881675e-06,1.8196037198803768e-06
3.5782660961706114e-06,1.24935630327618e-05,5.183940609073394e-06,1.7126203038997823e-06
3.4431849124321946e-06,1.2513088619935489e-05,5.106116338511084e-06,1.6122947322013397e-06
3.3130054170741107e-06,1.2535145585608096e-05,5.029972751644102e-06,1.5182465564426262e-06
3.187563492769218e-06,1.2559697992091117e-05,4.955451672436175e-06,1.4301268856919026e-06
3.0666995387138345e-06,1.2586714668365458e-05,4.882500979130284e-06,1.3476154982100734e-06
2.950258420108849e-06,1.2616168973887424e-05,4.811074257297146e-06,1.270418252001577e-06
2.8380894116109685e-06,1.2648038576738942e-05,4.741130476245124e-06,1.1982647596038686e-06
