q(t),H_ratio,S(t),q_stagnation,q_tail_ratio,q_entropy_ratio
0.016948719133979686,0.9954608363191264,0.02,0.7267429247685862,7.253689023525668,1.1652759610215115
0.016956347851232324,0.995458289765848,0.02,0.7268250646733132,7.2536836559722575,1.165268693483687
0.016963796368702978,0.9954558009232716,0.02,0.7269052977304085,7.253678461764126,1.1652615989294104
0.01697106909413766,0.9954533684525398,0.02,0.7269836693892306,7.253673435021208,1.1652546731157973
0.016978170320860533,0.995450991047316,0.02,0.7270602239785389,7.253668570067777,1.1652479119071235
0.016985104231099404,0.9954486674329118,0.02,0.7271350047351939,7.253663861425413,1.1652413112720816
0.016991874899188034,0.9954463963654423,0.02,0.7272080538321031,7.253659303806182,1.165234867281106
0.016998486294659054,0.9954441766310084,0.02,0.7272794124054378,7.253654892106042,1.1652285761037626
0.01700494228523011,0.9954420070449068,0.02,0.7273491205811201,7.253650621398473,1.165222434006203
0.017011246639684473,0.995439886450864,0.02,0.7274172175006253,7.253646486928301,1.1652164373486817
0.017017403030656818,0.995437813720296,0.02,0.7274837413460916,7.253642484105742,1.165210582583138
0.017023415037322586,0.9954357877515877,0.02,0.7275487293647775,7.25363860850064,1.1652048662508345
0.01702928614800332,0.9954338074693984,0.02,0.7276122178928663,7.253634855836885,1.165199284980059
0.01703501976267845,0.9954318718239858,0.02,0.7276742423786436,7.253631221987044,1.1651938354838827
0.017040619195421946,0.9954299797905517,0.02,0.7277348374050652,7.253627702967147,1.1651885145579761
0.01704608767675846,0.9954281303686058,0.02,0.7277940367117259,7.253624294931667,1.16518331907848
0.017051428355942578,0.9954263225813508,0.02,0.7278518732162519,7.253620994168664,1.1651782459999318
0.01705664430316747,0.9954245554750812,0.02,0.7279083790351232,7.2536177970950915,1.1651732923532447
0.017061738511704828,0.9954228281186065,0.02,0.7279635855039541,7.2536147002522755,1.1651684552437387
0.01706671389997554,0.9954211396026822,0.02,0.7280175231972307,7.2536117003015335,1.1651637318492227
0.017071573313561485,0.9954194890394635,0.02,0.7280702219475365,7.253608794019955,1.1651591194181268
0.01707631952714992,0.9954178755619738,0.02,0.7281217108642635,7.253605978296326,1.1651546152676813
